"Var1" "Freq"
"1" "2018-01-01" 11
"2" "2018-01-02" 7
"3" "2018-01-03" 5
"4" "2018-01-04" 2
"5" "2018-01-05" 6
"6" "2018-01-06" 5
"7" "2018-01-07" 5
"8" "2018-01-08" 2
"9" "2018-01-09" 5
"10" "2018-01-10" 6
"11" "2018-01-11" 5
"12" "2018-01-12" 11
"13" "2018-01-13" 6
"14" "2018-01-14" 2
"15" "2018-01-15" 6
"16" "2018-01-16" 6
"17" "2018-01-17" 7
"18" "2018-01-18" 4
"19" "2018-01-19" 5
"20" "2018-01-20" 4
"21" "2018-01-21" 5
"22" "2018-01-22" 6
"23" "2018-01-23" 9
"24" "2018-01-24" 5
"25" "2018-01-25" 8
"26" "2018-01-26" 4
"27" "2018-01-27" 4
"28" "2018-01-28" 6
"29" "2018-01-29" 8
"30" "2018-01-30" 9
"31" "2018-01-31" 8
"32" "2018-02-01" 10
"33" "2018-02-02" 12
"34" "2018-02-03" 6
"35" "2018-02-04" 9
"36" "2018-02-05" 8
"37" "2018-02-06" 9
"38" "2018-02-07" 4
"39" "2018-02-08" 6
"40" "2018-02-09" 7
"41" "2018-02-10" 7
"42" "2018-02-11" 3
"43" "2018-02-12" 5
"44" "2018-02-13" 5
"45" "2018-02-14" 9
"46" "2018-02-15" 4
"47" "2018-02-16" 3
"48" "2018-02-17" 8
"49" "2018-02-18" 3
"50" "2018-02-19" 2
"51" "2018-02-20" 12
"52" "2018-02-21" 7
"53" "2018-02-22" 11
"54" "2018-02-23" 1
"55" "2018-02-24" 10
"56" "2018-02-25" 9
"57" "2018-02-26" 6
"58" "2018-02-27" 3
"59" "2018-02-28" 5
"60" "2018-03-01" 9
"61" "2018-03-02" 4
"62" "2018-03-03" 6
"63" "2018-03-04" 8
"64" "2018-03-05" 10
"65" "2018-03-06" 3
"66" "2018-03-07" 5
"67" "2018-03-08" 1
"68" "2018-03-09" 7
"69" "2018-03-10" 6
"70" "2018-03-11" 7
"71" "2018-03-12" 10
"72" "2018-03-13" 6
"73" "2018-03-14" 2
"74" "2018-03-15" 6
"75" "2018-03-16" 10
"76" "2018-03-17" 4
"77" "2018-03-18" 10
"78" "2018-03-19" 4
"79" "2018-03-20" 4
"80" "2018-03-21" 6
"81" "2018-03-22" 6
"82" "2018-03-23" 3
"83" "2018-03-24" 2
"84" "2018-03-25" 6
"85" "2018-03-26" 12
"86" "2018-03-27" 10
"87" "2018-03-28" 3
"88" "2018-03-29" 9
"89" "2018-03-30" 8
"90" "2018-03-31" 7
"91" "2018-04-01" 10
"92" "2018-04-02" 6
"93" "2018-04-03" 6
"94" "2018-04-04" 3
"95" "2018-04-05" 10
"96" "2018-04-06" 7
"97" "2018-04-07" 5
"98" "2018-04-08" 4
"99" "2018-04-09" 7
"100" "2018-04-10" 6
"101" "2018-04-11" 14
"102" "2018-04-12" 3
"103" "2018-04-13" 8
"104" "2018-04-14" 6
"105" "2018-04-15" 8
"106" "2018-04-16" 6
"107" "2018-04-17" 4
"108" "2018-04-18" 6
"109" "2018-04-19" 6
"110" "2018-04-20" 11
"111" "2018-04-21" 4
"112" "2018-04-22" 5
"113" "2018-04-23" 7
"114" "2018-04-24" 6
"115" "2018-04-25" 9
"116" "2018-04-26" 3
"117" "2018-04-27" 1
"118" "2018-04-28" 5
"119" "2018-04-29" 7
"120" "2018-04-30" 5
"121" "2018-05-01" 12
"122" "2018-05-02" 6
"123" "2018-05-03" 2
"124" "2018-05-04" 9
"125" "2018-05-05" 9
"126" "2018-05-06" 4
"127" "2018-05-07" 4
"128" "2018-05-08" 13
"129" "2018-05-09" 8
"130" "2018-05-10" 7
"131" "2018-05-11" 11
"132" "2018-05-12" 6
"133" "2018-05-13" 4
"134" "2018-05-14" 5
"135" "2018-05-15" 10
"136" "2018-05-16" 3
"137" "2018-05-17" 7
"138" "2018-05-18" 3
"139" "2018-05-19" 6
"140" "2018-05-20" 6
"141" "2018-05-21" 4
"142" "2018-05-22" 1
"143" "2018-05-23" 8
"144" "2018-05-24" 7
"145" "2018-05-25" 4
"146" "2018-05-26" 5
"147" "2018-05-27" 6
"148" "2018-05-28" 10
"149" "2018-05-29" 3
"150" "2018-05-30" 10
"151" "2018-05-31" 6
"152" "2018-06-01" 14
"153" "2018-06-02" 3
"154" "2018-06-03" 7
"155" "2018-06-04" 4
"156" "2018-06-05" 18
"157" "2018-06-06" 13
"158" "2018-06-07" 9
"159" "2018-06-08" 8
"160" "2018-06-09" 7
"161" "2018-06-10" 8
"162" "2018-06-11" 4
"163" "2018-06-12" 8
"164" "2018-06-13" 6
"165" "2018-06-14" 12
"166" "2018-06-15" 8
"167" "2018-06-16" 6
"168" "2018-06-17" 7
"169" "2018-06-18" 4
"170" "2018-06-19" 9
"171" "2018-06-20" 5
"172" "2018-06-21" 3
"173" "2018-06-22" 3
"174" "2018-06-23" 5
"175" "2018-06-24" 5
"176" "2018-06-25" 8
"177" "2018-06-26" 3
"178" "2018-06-27" 2
"179" "2018-06-28" 9
"180" "2018-06-29" 10
"181" "2018-06-30" 8
"182" "2018-07-01" 6
"183" "2018-07-02" 9
"184" "2018-07-03" 7
"185" "2018-07-04" 5
"186" "2018-07-05" 8
"187" "2018-07-06" 13
"188" "2018-07-07" 1
"189" "2018-07-08" 4
"190" "2018-07-09" 5
"191" "2018-07-10" 5
"192" "2018-07-11" 8
"193" "2018-07-12" 3
"194" "2018-07-13" 7
"195" "2018-07-14" 1
"196" "2018-07-15" 4
"197" "2018-07-16" 2
"198" "2018-07-17" 8
"199" "2018-07-18" 2
"200" "2018-07-19" 7
"201" "2018-07-20" 7
"202" "2018-07-21" 5
"203" "2018-07-22" 6
"204" "2018-07-23" 10
"205" "2018-07-24" 1
"206" "2018-07-25" 3
"207" "2018-07-26" 4
"208" "2018-07-27" 6
"209" "2018-07-28" 3
"210" "2018-07-29" 4
"211" "2018-07-30" 2
"212" "2018-07-31" 4
"213" "2018-08-01" 15
"214" "2018-08-02" 4
"215" "2018-08-03" 7
"216" "2018-08-04" 6
"217" "2018-08-05" 6
"218" "2018-08-06" 9
"219" "2018-08-07" 4
"220" "2018-08-08" 6
"221" "2018-08-09" 8
"222" "2018-08-10" 3
"223" "2018-08-11" 7
"224" "2018-08-12" 6
"225" "2018-08-13" 3
"226" "2018-08-14" 6
"227" "2018-08-15" 8
"228" "2018-08-16" 6
"229" "2018-08-17" 6
"230" "2018-08-18" 4
"231" "2018-08-19" 1
"232" "2018-08-20" 4
"233" "2018-08-21" 8
"234" "2018-08-22" 7
"235" "2018-08-23" 6
"236" "2018-08-24" 1
"237" "2018-08-25" 4
"238" "2018-08-26" 7
"239" "2018-08-27" 2
"240" "2018-08-28" 4
"241" "2018-08-29" 8
"242" "2018-08-30" 7
"243" "2018-08-31" 6
"244" "2018-09-01" 5
"245" "2018-09-02" 3
"246" "2018-09-03" 5
"247" "2018-09-04" 6
"248" "2018-09-05" 10
"249" "2018-09-06" 6
"250" "2018-09-07" 9
"251" "2018-09-08" 6
"252" "2018-09-09" 3
"253" "2018-09-10" 5
"254" "2018-09-11" 5
"255" "2018-09-12" 5
"256" "2018-09-13" 5
"257" "2018-09-14" 3
"258" "2018-09-15" 8
"259" "2018-09-16" 5
"260" "2018-09-17" 6
"261" "2018-09-18" 7
"262" "2018-09-19" 4
"263" "2018-09-20" 6
"264" "2018-09-21" 9
"265" "2018-09-22" 3
"266" "2018-09-23" 4
"267" "2018-09-24" 8
"268" "2018-09-25" 6
"269" "2018-09-26" 4
"270" "2018-09-27" 7
"271" "2018-09-28" 8
"272" "2018-09-29" 5
"273" "2018-09-30" 5
"274" "2018-10-01" 13
"275" "2018-10-02" 9
"276" "2018-10-04" 11
"277" "2018-10-05" 5
"278" "2018-10-06" 7
"279" "2018-10-07" 5
"280" "2018-10-08" 9
"281" "2018-10-09" 6
"282" "2018-10-10" 3
"283" "2018-10-11" 3
"284" "2018-10-12" 6
"285" "2018-10-13" 11
"286" "2018-10-14" 4
"287" "2018-10-15" 7
"288" "2018-10-16" 10
"289" "2018-10-17" 6
"290" "2018-10-18" 1
"291" "2018-10-19" 13
"292" "2018-10-20" 2
"293" "2018-10-22" 9
"294" "2018-10-23" 5
"295" "2018-10-24" 12
"296" "2018-10-25" 7
"297" "2018-10-26" 5
"298" "2018-10-27" 6
"299" "2018-10-28" 6
"300" "2018-10-29" 10
"301" "2018-10-30" 6
"302" "2018-10-31" 7
"303" "2018-11-01" 5
"304" "2018-11-02" 7
"305" "2018-11-03" 11
"306" "2018-11-04" 5
"307" "2018-11-05" 10
"308" "2018-11-06" 5
"309" "2018-11-07" 2
"310" "2018-11-08" 10
"311" "2018-11-09" 5
"312" "2018-11-10" 7
"313" "2018-11-11" 10
"314" "2018-11-12" 3
"315" "2018-11-13" 4
"316" "2018-11-14" 3
"317" "2018-11-15" 2
"318" "2018-11-16" 5
"319" "2018-11-17" 4
"320" "2018-11-18" 6
"321" "2018-11-19" 8
"322" "2018-11-20" 8
"323" "2018-11-21" 5
"324" "2018-11-22" 5
"325" "2018-11-23" 5
"326" "2018-11-24" 6
"327" "2018-11-25" 5
"328" "2018-11-26" 10
"329" "2018-11-27" 2
"330" "2018-11-28" 8
"331" "2018-11-29" 7
"332" "2018-11-30" 8
"333" "2018-12-01" 6
"334" "2018-12-02" 7
