 "Test Predictions" Actuals Date
1439 5.0997314 9 2022-01-01
1440 5.5849953 2 2022-01-03
1441 5.221453 2 2022-01-04
1442 4.976855 4 2022-01-05
1443 5.023589 3 2022-01-06
1444 4.840905 6 2022-01-07
1445 4.93028 3 2022-01-08
1446 4.618446 2 2022-01-09
1447 4.6835084 8 2022-01-10
1448 5.0526285 4 2022-01-11
1449 5.0386505 8 2022-01-12
1450 4.490082 2 2022-01-13
1451 4.0371475 6 2022-01-14
1452 4.4997554 5 2022-01-15
1453 4.4319196 4 2022-01-16
1454 4.5299435 7 2022-01-17
1455 4.7048674 6 2022-01-18
1456 5.4110274 3 2022-01-19
1457 4.970262 5 2022-01-20
1458 5.128723 2 2022-01-21
1459 4.8384414 8 2022-01-22
1460 5.24876 5 2022-01-23
1461 4.888587 1 2022-01-24
1462 4.693253 5 2022-01-25
1463 5.2142777 3 2022-01-26
1464 5.2785335 2 2022-01-27
1465 4.6549273 4 2022-01-28
1466 5.4348364 2 2022-01-29
1467 5.132959 6 2022-01-30
1468 5.249565 1 2022-01-31
1469 4.3672214 5 2022-02-01
1470 4.64089 7 2022-02-02
1471 4.6155987 6 2022-02-03
1472 4.336927 2 2022-02-04
1473 4.0169454 2 2022-02-05
1474 4.2712517 6 2022-02-07
1475 4.4443455 7 2022-02-08
1476 4.96469 3 2022-02-09
1477 4.5673275 3 2022-02-10
1478 4.717994 4 2022-02-11
1479 4.7959995 6 2022-02-12
1480 4.9850893 7 2022-02-13
1481 5.055909 3 2022-02-14
1482 4.8196745 1 2022-02-15
1483 4.8680573 3 2022-02-16
1484 5.299425 4 2022-02-17
1485 5.224842 1 2022-02-18
1486 4.439957 1 2022-02-19
1487 4.6739893 4 2022-02-20
1488 4.804211 7 2022-02-21
1489 4.5618243 7 2022-02-22
1490 4.168403 5 2022-02-23
1491 3.8977897 7 2022-02-24
1492 3.8744354 7 2022-02-25
1493 3.8352456 5 2022-02-26
1494 3.7643535 1 2022-02-27
1495 3.991274 5 2022-02-28
1496 4.1660995 14 2022-03-01
1497 4.0681553 5 2022-03-02
1498 3.6362944 3 2022-03-03
1499 4.08316 10 2022-03-04
1500 5.0233245 1 2022-03-05
1501 4.2579436 6 2022-03-06
1502 4.3869314 6 2022-03-07
1503 4.313289 3 2022-03-08
1504 4.588281 4 2022-03-09
1505 4.8841777 5 2022-03-10
1506 4.751071 3 2022-03-11
1507 4.5601726 2 2022-03-12
1508 4.7160034 2 2022-03-13
1509 4.829908 6 2022-03-14
1510 4.9092007 8 2022-03-15
1511 4.3549757 6 2022-03-16
1512 3.9335687 7 2022-03-17
1513 3.7377646 3 2022-03-18
1514 3.5804849 7 2022-03-19
1515 3.845433 2 2022-03-20
1516 4.6538363 7 2022-03-21
1517 5.2138867 5 2022-03-22
1518 4.9346967 5 2022-03-23
1519 4.9741035 1 2022-03-24
1520 4.687151 6 2022-03-25
1521 5.1165795 6 2022-03-26
