,Train Predictions,Actuals
0,156.35649,216
1,156.35649,160
2,156.35649,179
3,156.35649,171
4,156.35649,204
5,156.35649,181
6,156.35649,166
7,156.35649,174
8,156.35649,151
9,156.35649,174
10,156.35649,190
11,156.35649,172
12,156.35649,190
13,156.35649,191
14,156.35649,192
15,156.35649,189
16,156.35649,179
17,156.35649,141
18,156.35649,182
19,156.35649,154
20,156.35649,163
21,156.35649,192
22,156.35649,113
23,156.35649,132
24,156.35649,154
25,156.35649,146
26,156.35649,134
27,156.35649,126
28,156.35649,128
29,156.35649,142
30,156.35648,135
31,156.35648,117
32,156.35649,100
33,156.35649,128
34,156.35649,115
35,156.35649,120
36,156.35649,143
37,156.35649,142
38,156.35648,159
39,156.35648,140
