 "Train Predictions" Actuals
0 5.6848254 5
1 5.376884 5
2 5.1337905 2
3 4.854365 5
4 5.2848544 6
5 5.2059174 5
6 5.116858 11
7 5.302264 6
8 5.580251 2
9 5.412418 6
10 5.5598087 6
11 5.6755834 7
12 5.38635 4
13 5.1659684 5
14 5.520028 4
15 5.4320183 5
16 5.4011755 6
17 5.246794 9
18 5.4923525 5
19 5.413156 8
20 5.665847 4
21 5.604894 4
22 5.5885496 6
23 5.4802995 8
24 5.6309667 9
25 5.4938216 8
26 5.6529593 10
27 5.882488 12
28 5.997965 6
29 5.8688874 9
30 5.942635 8
31 5.9652724 9
32 5.9795604 4
33 5.6748023 6
34 5.789547 7
35 5.774854 7
36 5.728294 3
37 5.339758 5
38 5.522374 5
39 5.508208 9
40 5.546536 4
41 5.2041984 3
42 5.3212204 8
43 5.5624504 3
44 5.417984 2
45 4.8772616 12
46 5.306611 7
47 5.512985 11
48 5.417091 1
49 5.294548 10
50 5.886279 9
51 5.7765083 6
52 5.693274 3
53 5.2811923 5
54 5.71372 9
55 5.7380366 4
56 5.339823 6
57 5.3250065 8
58 5.6650577 10
59 5.83519 3
60 5.4162235 5
61 5.609064 1
62 5.3669267 7
63 5.4509025 6
64 4.920483 7
65 5.2270036 10
66 5.383599 6
67 5.73477 2
68 5.476603 6
69 5.6431456 10
70 5.784817 4
71 5.316808 10
72 5.460122 4
73 5.6177325 4
74 5.6106443 6
75 5.4762406 6
76 5.639169 3
77 5.125768 2
78 5.0521073 6
79 5.289558 12
80 5.371731 10
81 5.2774425 3
82 5.321113 9
83 5.8349967 8
84 5.9325514 7
85 5.784798 10
86 5.7164617 6
87 5.847696 6
88 5.7894034 3
89 5.5967965 10
90 5.8317266 7
91 5.60253 5
92 5.509431 4
93 5.4331684 7
94 5.772111 6
95 5.5690064 14
96 5.6488643 3
97 5.419268 8
98 5.7455363 6
99 5.723162 8
100 5.8681264 6
101 5.5152926 4
102 5.638537 6
103 5.6198273 6
104 5.6444035 11
105 5.662504 4
106 5.4333367 5
107 5.589691 7
108 5.7046895 6
109 5.725859 9
110 5.5511184 3
111 5.465502 1
112 5.299219 5
113 5.3221474 7
114 5.3526053 5
115 4.7236886 12
116 5.238252 6
117 5.624223 2
118 5.471939 9
119 5.6945868 9
120 5.8604655 4
121 5.398602 4
122 5.3302817 13
123 5.9018073 8
124 5.7492537 7
125 5.570611 11
126 5.8631525 6
127 5.9186125 4
128 5.6947594 5
129 5.681363 10
130 5.8655343 3
131 5.3591733 7
132 5.445975 3
133 5.415293 6
134 5.581975 6
135 5.2546716 4
136 5.3855257 1
137 4.9007726 8
138 5.3815594 7
139 5.3010554 4
140 5.0206656 5
141 5.1721025 6
142 5.654363 10
143 5.672441 3
144 5.300694 10
145 5.6721115 6
146 5.6874394 14
147 5.9018116 3
148 5.4446287 7
149 5.8045073 4
150 5.604613 18
151 5.8994856 13
152 5.560339 9
153 5.7911983 8
154 5.846234 7
155 6.010311 8
156 5.9901233 4
157 5.7352986 8
158 5.8030844 6
159 5.701835 12
160 5.8367257 8
161 5.6969447 6
162 5.799794 7
163 5.8209167 4
164 5.7723117 9
165 5.787797 5
166 5.5817676 3
167 5.434921 3
168 5.252525 5
169 5.438271 5
170 5.024582 8
171 5.0721745 3
172 5.107672 2
173 5.1653295 9
174 5.447979 10
175 5.580775 8
176 5.327044 6
177 5.5605903 9
178 5.9524007 7
179 5.8930774 5
180 5.7239594 8
181 5.7777753 13
182 5.9532075 1
183 5.414931 4
184 5.430971 5
185 5.5688105 5
186 5.465368 8
187 4.8713923 3
188 5.2182918 7
189 5.4817123 1
190 5.1813707 4
191 5.244722 2
192 4.6264067 8
193 5.050917 2
194 4.2421665 7
195 5.036692 7
196 5.204512 5
197 5.4973383 6
198 5.325273 10
199 5.8047705 1
200 5.358364 3
201 5.2395654 4
202 5.279792 6
203 5.274816 3
204 4.3225408 4
205 4.9019847 2
206 4.9057813 4
207 4.9554005 15
208 4.9856505 4
209 5.031518 7
210 5.299386 6
211 5.653158 6
212 5.825978 9
213 5.624003 4
214 5.6030645 6
215 5.614609 8
216 5.7235103 3
217 5.531185 7
218 5.455919 6
219 5.5936418 3
220 5.4133286 6
221 5.2932982 8
222 5.633015 6
223 5.477143 6
224 5.4345827 4
225 5.568292 1
226 5.3169413 4
227 5.1565294 8
228 5.1677713 7
229 4.958752 6
230 5.0802293 1
231 5.2472982 4
232 5.441953 7
233 5.389676 2
234 4.83971 4
235 4.540691 8
236 5.292437 7
237 5.4249415 6
238 5.210875 5
239 5.528405 3
240 5.541831 5
241 5.473095 6
242 5.3815503 10
243 5.436003 6
244 5.3837004 9
245 5.733582 6
246 5.761144 3
247 5.6524034 5
248 5.560424 5
249 5.568261 5
250 5.2836847 5
251 5.132648 3
252 5.215622 8
253 5.4041953 5
254 5.3332963 6
255 5.3787203 7
256 5.4751997 4
257 5.5801587 6
258 5.504241 9
259 5.69155 3
260 5.448392 4
261 5.319642 8
262 5.624015 6
263 5.582162 4
264 5.1765904 7
265 5.531654 8
266 5.7475057 5
267 5.523677 5
268 5.48574 13
269 5.857024 9
270 5.8076377 11
271 5.791285 5
272 5.753223 7
273 5.9413486 5
274 5.7852135 9
275 5.875527 6
276 5.605108 3
277 5.510535 3
278 5.3714767 6
279 5.5449586 11
280 5.433167 4
281 5.1131353 7
282 5.476624 10
283 5.837785 6
284 5.798718 1
285 5.2751026 13
286 5.7880044 2
287 5.425479 9
288 5.376221 5
289 5.266872 12
290 5.88858 7
291 5.5138764 5
292 5.7459245 6
293 5.7038565 6
294 5.8221445 10
295 5.756516 6
296 5.604854 7
297 5.7224817 5
298 5.6903644 7
299 5.8122125 11
300 5.7922053 5
301 5.656361 10
302 5.7791514 5
303 5.7530003 2
304 5.5681467 10
305 5.6481996 5
306 5.616264 7
307 5.3975134 10
308 5.5856833 3
309 5.645267 4
310 5.462233 3
311 5.441825 2
312 5.192885 5
313 4.5830135 4
314 4.68049 6
315 4.7553186 8
316 5.1222434 8
317 5.551488 5
318 5.5118203 5
319 5.642843 5
320 5.664624 6
321 5.6094894 5
322 5.387637 10
323 5.597458 2
324 5.3258634 8
325 5.588304 7
326 5.606448 8
327 5.7433424 6
328 5.4609723 7
329 5.81154 7
