 "Train Predictions" Actuals
0 142.81985 216
1 142.81955 160
2 142.82043 179
3 142.8203 171
4 142.8204 204
5 142.81984 181
6 142.8201 166
7 142.82043 174
8 142.82037 151
9 142.8208 174
10 142.82045 190
11 142.82008 172
12 142.8203 190
13 142.82005 191
14 142.81999 192
15 142.81996 189
16 142.82 179
17 142.82019 141
18 142.82101 182
19 142.82034 154
20 142.82071 163
21 142.82062 192
22 142.82007 113
23 142.82243 132
24 142.82153 154
25 142.82094 146
26 142.82098 134
27 142.82129 126
28 142.82172 128
29 142.82167 142
